"Termino","Area","Descripcion_Termino"
"""Gestión de Metadatos (Metadata Management)""","""Gobierno de Datos""","""Corresponde a la administración de datos que describen otros datos. Da significado y describe los activos de información en su organización."""
"""ETL (Extract, transform and load)""","""Gobierno de Datos""","""Es un tipo de integración de datos que hace referencia a los tres pasos (extraer, transformar, cargar) que se utilizan para mezclar datos de múltiples fuentes."""
"""Escape de Datos (Data Breach)""","""Gobierno de Datos""","""Es una infracción de la seguridad, en la que datos sensibles, protegidos o confidenciales son copiados, transmitidos, vistos, robados o utilizados por una persona no autorizada para hacerlo."""
"""Encriptación de Datos (Data encryption)""","""Gobierno de Datos""","""La encriptación de datos es un proceso de codificación mediante el cual se altera el contenido de la información haciéndola ilegible, de esta manera se consigue mantener la confidencialidad de la información mientras se transmite del emisor al receptor."""
"""Ciencia de Datos (Data Science)""","""Gobierno de Datos""","""Esta compuesto por métodos científicos en los que se utilizan algoritmos, estadísticas, procesos, sistemas, ingeniería software para obtener conocimiento, resolver problemas analíticos y tener un mejor entendimiento de la información. Los científicos de datos extraen la información que se utiliza posteriormente en los negocios para mejorar las estrategias."""
"""Información Sensible (Sensitive Information)""","""Gobierno de Datos""","""Corresponde a la información personal privada de un individuo, por ejemplo ciertos datos personales y bancarios, contraseñas de correo electrónico e incluso el domicilio en algunos casos. Un dato puede ser sensible dependiendo de su contexto y de los riesgos que genere su uso."""
"""Plataforma 5.dec""","""RRHH""","""Plataforma que permite la firma electrónica de documentos a los empleados y posterior a ello, su almacenamiento. Se utiliza para contratos, anexos de contratos y otros documentos. 
Enlace: https://5.dec.cl/"""
"""InfoNómina""","""RRHH""","""Informe en excel obtenido del Sistema Uno con información de la renta de todos los empleados de la empresa por mes."""
"""Sistema Uno""","""RRHH""","""Plataforma SuccesFactors utilizada por el Área de Recursos Humanos para gestionar la información de los empleados. En ella se encuentra la información personal, organizativa, de remuneraciones, entre otros antecedentes."""
"""Bono""","""RRHH""","""Beneficio monetario adicional a la remuneración percibido por el trabajador, corresponde a remuneración variable y puede darse en distintas periodicidades y con distintos motivos (mensual, bimensual, anual, etc.). En esta categoría también se incluyen las asignaciones imponibles (por ejemplo, asignación zona)."""
"""Remuneración""","""RRHH""","""Pago de un servicio o trabajo establecido en el contrato de trabajo. La remuneración se compone de una parte fija (remuneración fija) y de una parte variable (remuneración variable). En general cuando hablamos de remuneración, podemos considerar cuatro grupos de conceptos:
Remuneración fija y asignaciones como parte de la renta fija, obligaciones legales (horas extras), bonos y beneficios de la empresa."""
"""Licencia Médica""","""RRHH""","""Documento extendido por un profesional de la salud, que acredita que un trabajador se encuentra incapacitado temporalmente para trabajar, e indica una cantidad de días de reposo."""
"""Contrato de Trabajo""","""RRHH""","""El contrato de trabajo se celebra por palabra o por escrito. Corresponde a un acuerdo entre el trabajador y el empleador, por el cual el primero se compromete a prestar servicios personales bajo subordinación y dependencia de un empleador, quien se compromete a pagar una remuneración por los servicios prestados."""
"""Anexo de Contrato""","""RRHH""","""Es la formalidad legal que se realiza cuando existen modificaciones o se incorporan nuevos antecedentes al acuerdo contractual. Este debe quedar por escrito en un documento adicional al contrato de trabajo y debe ser de común acuerdo entre el empleador y el trabajador."""
"""Firma Electrónica""","""RRHH""","""Es el equivalente electrónico de una firma manuscrita, donde a través de un conjunto de datos digitales se identifica al firmante de un documento electrónico y vincula la identidad del usuario con el documento firmado. Empresas Socovesa utiliza la Plataforma 5.dec para la firma electrónica de documentos."""
"""Liquidación de Sueldo""","""RRHH""","""Documento que el empleador entrega a sus empleados mes a mes, donde se deja constancia del pago de sueldo correspondiente y se indican los montos, las deducciones, cargas familiares, entre otros conceptos."""
"""Sueldo Imponible""","""RRHH""","""Corresponde a la remuneración sobre la cual el trabajador hace los descuentos de previsión y salud que correspondan."""
"""Sueldo Líquido""","""RRHH""","""Corresponde al sueldo que se recibe a fin de mes al que se aplicaron todos los descuentos legales pertinentes como AFP, Salud, Seguro de cesantía e impuestos."""
"""Haberes""","""RRHH""","""Corresponde a todos los montos a los cuales luego se les aplican los descuentos mensuales que corresponden en cada caso. En los haberes de la liquidación mensual se encuentra el sueldo imponible, los bonos, la gratificación legal y las horas extra."""
"""Descuentos""","""RRHH""","""Corresponde a los montos descontados del sueldo imponible. Los descuentos se dividen en dos categorías, por un lado, los descuentos legales destinados al pago de AFP, comisión AFP, plan de salud, seguro de cesantía, impuesto a la renta, entre otros; y por otra parte tenemos los descuentos personales que corresponden a deducciones por solicitud de anticipo, crédito, ahorro previsional voluntario, y demás situaciones similares."""
"""Total Imponible""","""RRHH""","""Corresponde al monto que se utiliza para calcular los valores destinados a las Administradoras de Fondos de Pensiones (AFP), salud y seguro de cesantía."""
"""Total Tributable""","""RRHH""","""Corresponde a los haberes imponibles menos los descuentos legales. Por lo tanto, al definir ese monto se puede calcular el impuesto que se corresponde pagar por el sueldo recibido."""
"""Saldos de Vacaciones""","""RRHH""","""Corresponde al número disponible de días que puede disponer el trabajador con motivo de feriado legal / periodo de vacaciones."""
"""Feriado legal/ Vacaciones""","""RRHH""","""Corresponde al descanso laboral con pago de remuneración que tiene todo trabajador. Todo trabajador que cumpla una anualidad, tiene derecho a 15 días hábiles de feriado legal."""
"""Datos para depósito del empleado""","""RRHH""","""Corresponde al conjunto de datos necesarios para efectuar un pago: tipo de remuneración, método de pago, país/región del banco, banco, tipo de cuenta, número de cuenta, propietario de cuenta, entre otros."""
"""Organigrama""","""RRHH""","""Corresponde a una representación gráfica de la estructura interna de la empresa. Sistema Uno permite visualizar el organigrama de dos maneras: mediante posiciones y mediante cargos. Datos incluidos en el organigrama son: nombre, cargo, jefaturas y subalternos."""
"""Comisiones""","""RRHH""","""Parte de la remuneración variable por concepto de ventas."""
"""Datos de identificación del empleado""","""RRHH""","""Corresponde al conjunto de datos que se relacionan con el trabajador y los identifica, es decir, permite su identificación. Algunos de estos datos son, nombres, apellidos, sexo, estado civil, nacionalidad, RUT, etc."""
"""Datos de emergencia del empleado""","""RRHH""","""Corresponde al grupo de datos que entrega información en el caso de una emergencia e incluye el contacto en caso de una emergencia, nombre de la persona, relación, número de teléfono y correo electrónico, además de la institución médica de preferencia."""
"""Grupo Familiar""","""RRHH""","""Conjunto de personas unidas o no por vínculos de sangre que dan forma al núcleo familiar."""
"""Jefatura""","""RRHH""","""Corresponde a la persona encargada del equipo de trabajo en el cual el trabajador desempeña. Una jefatura directa corresponde a la jefatura inmediata del trabajador."""
"""Subordinado""","""RRHH""","""Corresponde al trabajador o trabajadores que se encuentran bajo las órdenes o la responsabilidad de una jefatura."""
"""Ficha de Ingreso del Trabajador""","""RRHH""","""Corresponde a la ficha de incorporación solicitada por el área de recursos humanos al trabajador para la elaboración del contrato de trabajo. En ella se solicitan datos personales, datos de contacto, datos académicos, contacto de emergencia, datos para depósito, datos previsionales, entre otros."""
"""Datos de contacto del empleado""","""RRHH""","""Corresponde al grupo de datos que permite establecer una comunicación con el trabajador. Principales datos de contacto son: celular, correo personal y dirección."""
"""Datos Académicos""","""RRHH""","""Corresponde a los antecedentes curriculares del trabajador, donde se incluye nivel de estudios, profesión, institución de estudios, entre otros."""
"""Datos previsionales del empleado""","""RRHH""","""Corresponden a información de las instituciones donde es depositada la cotización obligatoria del trabajador. Generalmente hablamos de una administradora de fondos de pensiones y prestadores de salud (FONASA o Isapre). Estos datos corresponden a nombre AFP, nombre Isapre o FONASA y el plan en UF de Isapre (si es el caso).
"""
"""Curriculum Vitae (CV)""","""RRHH""","""Documento que recoge información de índole personal (datos biográficos, residencia), educativa y formativa (académica, profesional) y laboral (experiencia, habilidades y conocimientos), que un individuo ha adquirido a lo largo de su vida, con el objetivo de servirle como presentación o requisito para postularse a un puesto de trabajo."""
"""Calculadora de Cargo""","""RRHH""","""Permite definir en nivel de presencialidad del cargo en base a una serie de parámetros. """
"""Carta oferta laboral""","""RRHH""","""Documento con el que una empresa comunica a un candidato que es apto para ocupar el cargo para el que postuló y en el que se especifica a modo de oferta información sobre el cargo, tipo de contrato, salario, entre otros aspectos."""
"""Asignaciones""","""RRHH""","""Beneficio monetario adicional a la remuneración percibido por el trabajador. Las asignaciones pueden ser no imponibles, tales como el viático, movilización y asignación familiar o imponibles como asignación zona o asignación de internet. En este último caso, se le da tratamiento como concepto bono."""
"""Teletrabajo""","""RRHH""","""El teletrabajo permite a los empleados llevar a cabo sus deberes y sus responsabilidades desde una ubicación fuera del lugar de trabajo oficial. Podría implicar trabajar desde la oficina en casa, otra sucursal, una cafetería, una librería o incluso un espacio de coworking.
De acuerdo a la definición del Código de Trabajo (DT), se considera teletrabajo cuando los servicios son prestados mediante la utilización de medios tecnológicos, informáticos o de telecomunicaciones o si tales servicios deben reportarse mediante estos medios.
"""
"""Estructura Organizacional""","""RRHH""","""La estructura organizacional es el sistema jerárquico escogido para organizar a los trabajadores en un organigrama."""
"""Empresa""","""RRHH""","""Razón social de la unidad legal que contrata al trabajador. El conjunto de estas unidades legales, corresponde a Empresas Socovesa."""
"""UEN""","""RRHH""","""Corresponde a la unidad de negocio definida por la actividad económica principal. Por ejemplo, desarrollo inmobiliario."""
"""Marca""","""RRHH""","""Corresponde a las distintas identificaciones comerciales dentro de Empresas Socovesa, por ejemplo: Almagro, Pilares, Socovesa Santiago, etc."""
"""Gerencia""","""RRHH""","""Corresponde a la sección de la empresa donde el trabajado se desempeña. Por ejemplo, Gerencia de Sistemas."""
"""Área""","""RRHH""","""Corresponde a una división de la gerencia. Si el área apunta a dos gerencias, se debe crear una área para cada gerencia. Por ejemplo, post venta."""
"""Departamento""","""RRHH""","""Corresponde a una división de la gerencia y del área donde el trabajador se desempeña. Por ejemplo, maquinarias."""
"""Tipo de Contrato""","""RRHH""","""Corresponde a la modalidad de trabajo bajo la cual se desempeña el trabajador. En Empresas Socovesa, principalmente existen dos: contrato indefinido y contrato por obra o faena."""
"""Contrato Indefinido""","""RRHH""","""El contrato indefinido es aquel que se establece sin definir límites de tiempo en la prestación de los servicios, en cuanto a la duración del contrato. En la práctica, es el usado con mayor frecuencia y sólo puede terminar por despido justificado, renuncia o muerte del trabajador."""
"""Contrato por Obra o Faena""","""RRHH""","""El contrato por obra o faena es aquel en que el trabajador se obliga con el empleador a ejecutar una obra específica y determinada, en su inicio y en su término. La vigencia del contrato se encuentra limitada a la duración de la obra o faena."""
"""Administración de la Compensación""","""RRHH""","""Corresponde a una variable dicotómica que indica si el trabajador cuenta o no con administración de la compensación, en función de su contrato de trabajo y sus condiciones negociadas al ingresar a la empresa."""
"""Familia de cargo KPI""","""RRHH""","""Corresponde a una herramienta de la organización para agrupar cargos similares en agrupaciones de cargos, de acuerdo a una metodología de competencias."""
"""Familia de cargo Memoria""","""RRHH""","""Corresponde a una herramienta de la organización para agrupar cargos similares en agrupaciones de cargos, de acuerdo a lo solicitado por la Comisión para el Mercado (CMF) para la publicación de la Memoria Anual. """
"""Fuero maternal""","""RRHH""","""Las mujeres tienen el derecho de fuero maternal, el cual protege los beneficios de la maternidad. Este, consiste en la imposibilidad del empleador de la trabajadora, de despedirla o poner fin a la relación laboral (sin autorización judicial previa), por un periodo que inicia desde la concepción hasta que el niño o niña cumpla un año y 84 días de edad."""
"""Licencia médica prenatal""","""RRHH""","""Permiso médico a mujeres embarazadas, previo a la fecha de parto. En Chile corresponde a seis semanas (42 días) anteriores a la fecha probable de parto."""
"""Licencia médica postnatal""","""RRHH""","""Permiso médico a mujeres embarazadas, con posterioridad a la fecha de parto. En Chile corresponde a 12 semanas (84 días) contadas desde el nacimiento del/la hijo/a. El inicio de este deberá comprobarse con el correspondiente certificado de parto."""
"""Remuneración fija""","""RRHH""","""El porcentaje de la remuneración que corresponde a remuneración fija está determinado por la estructura de la renta y corresponde a los conceptos de pago que no varían mes a mes. Ejemplo, sueldo base y gratificación."""
"""Remuneración variable""","""RRHH""","""El porcentaje de la remuneración que corresponde a remuneración variable está determinado por la estructura de la renta y corresponde a los conceptos de pago que varían mes a mes. Por ejemplo, los bonos."""
"""Horas extraordinarias""","""RRHH""","""Para calcular el valor de las horas extras, en el caso de un trabajador contratado por 45 horas semanales y con sueldo mensual, debe dividirse su sueldo en 30 y luego multiplicarse por 28, debiendo dividirse el resultado por 180, obteniéndose así el valor de cada hora ordinaria.
La cantidad máxima de horas extraordinarias (sobretiempo) a realizar en el sexto día, correspondiente al día sábado, dependerá de si el trabajador durante la semana comprendida entre lunes a viernes las ha realizado. El límite máximo diario de las horas extraordinarias es de 2 horas y su máximo semanal corresponde a 12 horas, si se considera que la jornada semanal puede distribuirse en un máximo de 6 días de labor (6 días x 2 horas extras= 12 horas extras semanales). """
"""Gratificación legal""","""RRHH""","""Corresponde a la parte de las utilidades con que el empleador beneficia el sueldo del trabajador.
La gratificación se entrega cuando el empleador obtiene utilidades líquidas en su giro, por lo que tiene la obligación de entregar una gratificación anual a sus trabajadores. Esta gratificación puede pagarse de dos formas: un pago que no debe ser inferior a la proporción del 30% de la utilidad o se debe pagar al trabajador el 25% de lo devengado por el concepto de remuneración mensual con un tope de 4,75 ingresos mínimos mensuales.
"""
"""Ausentismo""","""RRHH""","""Inasistencia por causas justificadas o injustificadas al trabajo de un empleado."""
"""Cargo operativo obra""","""RRHH""","""Cargo que no tiene administración de la compensación y que corresponde en un 100% a un desempeño en obra, por tanto, con contrato por obra o faena."""
"""Personal directivo obra""","""RRHH""","""Cargo con contrato indefinido y con administración de la compensación que se desempeña en obras principalmente."""
"""GX""","""RRHH""","""Grupo ejecutivo"""
"""Personal activo""","""RRHH""","""Persona que se encuentra trabajando de forma activa en la empresa."""
"""Personal inactivo""","""RRHH""","""Persona que no se encuentra trabajando de forma activa en la empresa. Personas finiquitadas."""
"""Cargo""","""RRHH""","""Objeto único asociado con la información de la posición."""
"""Posición""","""RRHH""","""Objeto relacionado con la estructura organizacional y asignado a una persona"""
"""Evaluación de Desempeño""","""RRHH""","""Corresponde al proceso que mide de forma objetiva e integral la conducta profesional, las competencias, el rendimiento y la productividad. """
"""Autoevaluación de Desempeño""","""RRHH""","""Corresponde a la primera parte del proceso de evaluación de desempeño en la empresa y consiste en la valoración que hace un trabajador acerca de su propio trabajo en la empresa, de acuerdo a las competencias y conductas establecida para su perfil de cargos."""
"""Jefe Evaluador""","""RRHH""","""Corresponde a la jefatura que realizará la evaluación de desempeño del trabajador."""
"""Retroalimentación laboral (Feedback)""","""RRHH""","""Corresponde a la retroalimentación que le entrega la jefatura a su reporte directo en torno a su desempeño en base a su perfil de competencias."""
"""Clima Organizacional""","""RRHH""","""Conjunto de las sensaciones e impresiones de los colaboradores de una empresa sobre el ambiente laboral."""
"""Cargo sujeto a evaluación de desempeño""","""RRHH""","""Corresponde al estado en el que se encuentra el cargo respecto a la evaluación de desempeño: cargo sin evaluación o cargo con evaluación."""
"""Puntaje Evaluación de Desempeño""","""RRHH""","""Corresponde al puntaje final del proceso de evaluación de desempeño. La escala de dicha evaluación va de 1 a 5 (insatisfactorio, necesita mejorar, cumple expectativas, excede las expectativas, desempeño destacado)"""
"""Desempeño Histórico""","""RRHH""","""Corresponde a la evaluación de desempeño histórica de los trabajadores."""
"""Puntaje Evaluación de Desempeño Calibrado""","""RRHH""","""Corresponde al puntaje de evaluación de desempeño posterior a la calibración de puntajes, proceso en el cual se ponen en revisión las evaluaciones."""
"""Dato Personal""","""Gobierno de Datos""","""Cualquier información vinculada o referida a una persona natural, identificada o identificable a través de medios que puedan ser razonablemente utilizados."""
"""Datos personales sensibles""","""Gobierno de Datos""","""Aquellos datos personales que conciernen o se refieren a las características físicas o morales de una persona, tales como el origen racial, ideología, afiliación política, creencias o convicciones religiosas o filosóficas, estado de salud físico o psíquico, orientación sexual, identidad de género e identidad genética y biomédica. """
"""Fuentes de acceso público""","""Gobierno de Datos""","""Todas aquellas bases de datos personales, públicas o privadas, cuyo acceso o consulta puede ser efectuado en forma lícita por cualquier persona, sin existir restricciones o impedimentos legales para su acceso o utilización.

Las dudas o controversias que se susciten sobre si una determinada base de datos es considerada fuente de acceso público serán resueltas por la Agencia de Protección de Datos Personales, quien podrá identificar categorías genéricas, clases o tipos de registros o bases de datos que posean esta condición."""
"""Proceso de anonimización o disociación""","""Gobierno de Datos""","""Procedimiento en virtud del cual los datos personales no pueden asociarse al titular ni permitir su identificación, por haberse destruido el nexo con toda información que lo identifica o porque dicha asociación exige un esfuerzo no razonable, entendiendo por tal el empleo de una cantidad de tiempo, gasto o trabajos desproporcionados. Un dato anonimizado deja de ser un dato personal. """
"""Base de datos personales""","""RRHH""","""Conjunto organizado de datos personales, cualquiera sea la forma o modalidad de su creación, almacenamiento, organización y acceso, que permita relacionar los datos entre sí, así como realizar el tratamiento de ellos."""
"""Titular de datos o titular""","""Gobierno de Datos""","""Persona natural, identificada o identificable, a quien conciernen o se refieren los datos personales. """
"""Tratamiento de datos""","""Gobierno de Datos""","""Cualquier operación o conjunto de operaciones o procedimientos técnicos, de carácter automatizado o no, que permitan recolectar, procesar, almacenar, comunicar, transmitir o utilizar de cualquier forma los datos personales."""
"""Derechos ARCO (Ley de datos personales)""","""Gobierno de Datos""","""Corresponden a un acrónimo de los derechos del titular de datos sobre sus datos. Incluye el Derecho de Acceso, de Rectificación, de Cancelación y de Oposición."""
"""Derecho de acceso (Ley de datos personales)""","""Gobierno de Datos""","""Derecho del titular de datos a solicitar y obtener del responsable confirmación acerca de si sus datos personales están siendo tratados por él, acceder a ellos en su caso, y a la información prevista en esta ley. """
"""Derecho de rectificación (Ley de datos personales)""","""Gobierno de Datos""","""Derecho del titular de datos a solicitar y obtener del responsable que modifique o complete sus datos personales, cuando están siendo tratados por él y sean inexactos o incompletos. """
"""Derecho de cancelación (Ley de datos personales)""","""Gobierno de Datos""","""Derecho del titular de datos a solicitar y obtener del responsable que suprima o elimine sus datos personales, de acuerdo a las causales previstas en la ley. """
"""Derecho de oposición (Ley de datos personales)""","""Gobierno de Datos""","""Derecho del titular de datos que se ejerce ante el responsable con el objeto de requerir que no se lleve a cabo un tratamiento de datos determinado, de conformidad a las causales previstas en la ley. """
"""Derecho de portabilidad de los datos personales (Ley de datos personales)""","""Gobierno de Datos""","""Derecho del titular de datos a solicitar y obtener del responsable en un formato electrónico estructurado, genérico y de uso habitual, una copia de sus datos personales y comunicarlos o transferirlos a otro responsable de datos."""
"""Competencias""","""RRHH""","""Habilidades y aptitudes necesarias para desarrollar de mejor manera el trabajo en la empresa. Cada competencia está compuesta por 3 conductas. Las competencias pueden ser transversales o específicas."""
"""Competencias transversales""","""RRHH""","""Habilidades y aptitudes necesarias para desarrollar de mejor manera el trabajo que aplica a todos los cargos de la organización. Actualmente, Empresas Socovesa reconoce 10 competencias transversales en su modelo por competencias: Curiosidad y flexibilidad mental; estructura, organización y racionalización; empatía, cooperación y trabajo colaborativo; apertura al cambio, la novedad y la diferencia; manejo de la presión y de la urgencia; análisis y resolución de problemas; cumplimiento de compromisos; comunicación efectiva, persuasión y negociación; iniciativa, agilidad y velocidad; y preocupación por el bienestar de las personas."""
"""Competencias específicas""","""RRHH""","""Habilidades y aptitudes necesarias para desarrollar de mejor manera el trabajo. Corresponden a 2 - 3 competencias de acuerdo al perfil de cargo y a la unidad de negocio. Actualmente, Empresas Socovesa reconoce 10 competencias específicas en su modelo por competencias: Credibilidad técnica; contribución a la productividad y a la eficiencia; coordinación y control; preocupación por el impacto en el entorno y sustentabilidad; mediación y resolución de conflicto; visión de largo plazo del negocio y anticipación de nuevos escenarios; confiabilidad y seguridad; conexión permanente y gestión de redes; liderazgo participativo y desafiante; y habilidad para generar compromiso."""
"""Dimensión de la competencia""","""RRHH""","""Corresponde al área de la cual se desprenden las competencias. Empresas Socovesa reconoce las siguientes dimensiones de competencias: pensamiento, cumplimiento, interacción, adaptabilidad, gestión emocional.
"""
"""Conductas""","""RRHH""","""Corresponde al comportamiento observable del trabajador dentro de cada competencia. Una conducta puede ser clasificada dentro de 5 niveles."""
"""Nivel de conducta""","""RRHH""","""Corresponde a la escala para evaluar una conducta. Se distinguen 5 niveles de conducta: 
Nivel 1, ausencia de la conducta y dificultad para entenderla;
Nivel 2, entendimiento y validación de la necesidad de la conducta, dificultad para ejercerla; 
Nivel 3, manejo de la conducta a nivel individual y básica; 
Nivel 4, manejo (y promoción) de la conducta con impacto en el área directa; 
y Nivel 5, excelencia del manejo de la conducta, referente identificado por sus pares y por la organización."""
"""Competencia deseable""","""RRHH""","""Corresponde a aquella competencia deseable para el cargo, con un nivel de puntaje 3 en las conductas que definen dicha competencia. (Aplica a las competencias transversales)"""
"""Competencia crítica""","""RRHH""","""Corresponde a aquella competencia deseable para el cargo, con un nivel de puntaje 4 en las conductas que definen dicha competencia. (Estas competencias pueden ser tanto transversales como específicas)."""
"""Modelo de gestión por competencias""","""RRHH""","""Es un modelo de gestión que se basa en competencias y conductas laborales requeridos por parte de una organización que permiten un buen desempeño organizacional.
Dentro del modelo es crítico establecer los distintos niveles para cada competencia, que son los que determinarán el grado de adecuación en el que se encuentra cada empleado evaluado y que a su vez nos permitirán saber si existen diferencias entre lo requerido para desempeñar óptimamente su trabajo y la realidad, así como definir planes de capacitación y desarrollo para cubrirlos a través de distintas fórmulas."""
"""Matriz de talento (Nine box)""","""RRHH""","""Corresponde a una matriz donde a partir de las competencias y el desempeño es posible determinar el potencial de un trabajador en la empresa. La matriz de talento cuenta con 9 niveles o cuadrantes: bajo rendimiento, desempeño sólido, desempeño sobre saliente, nuevo rol, colaborador clave, líder emergente, talento mal ubicado, listo para nuevas oportunidades y futuros líderes."""
"""Perfil meta""","""RRHH""","""Corresponde al puntaje deseado de cada competencia para determinado grupo de cargos. La diferencia entre el puntaje de la competencia y el perfil meta corresponde en una brecha o una fortaleza."""
"""Oportunidad de mejora (competencias)""","""RRHH""","""Una brecha en competencias corresponde a un puntaje de competencia menor al deseado o al establecido en el perfil meta."""
"""Fortaleza (competencias)""","""RRHH""","""Una fortaleza en competencias corresponde a un puntaje mayor al deseado o al establecido en el perfil meta.
"""
"""SUMASU""","""RRHH""","""Costo empresa del pago de la remuneración, compuesto por el total haberes (sueldo base, gratificación y movilización), seguro de invalidez y sobrevivencia, seguro de cesantía y pago de mutual."""
"""Elemento PEP""","""RRHH""","""Código asignado a personas de obra para distribuir costos. El código considera la empresa, proyecto y cargo."""
"""Persona sujeta a evaluación""","""RRHH""","""Indica si la persona está sujeta a evaluación de desempeño. Considera aspectos como el ausentismo o la fecha de ingreso."""
"""Nivel de talento""","""RRHH""","""Corresponde al potencial de un trabajador obtenido a partir de su evaluación de desempeño y se visualiza a través de la matriz de talento. Se distinguen 9 niveles: bajo rendimiento, desempeño sólido, desempeño sobre saliente, nuevo rol, colaborador clave, líder emergente, talento mal ubicado, listo para nuevas oportunidades y futuros líderes."""
"""Perfil de cargo""","""RRHH""","""Corresponde al grupo de cargos con un mismo nivel conductual y para una misma unidad de negocio."""
"""Perfil de línea conductual""","""RRHH""","""Existen 3 perfiles de línea conductual diferentes: Obra, Comercial y Corporativo, considerando líneas de conductas similares."""
"""Proyecto inmobiliario""","""Inmobiliaria""","""Proyecto de obra de construcción de un inmueble, generalmente se hará referencia a este concepto con el término ""proyecto""."""
"""Datos del proyecto""","""Inmobiliaria""","""Datos que hacen referencia a aspectos generales del proyecto como el nombre, alias, ubicación, estado y otros aspectos técnicos del proyecto inmobiliario."""
"""Datos descripción del proyecto""","""Inmobiliaria""","""Datos que hacen referencia a aspectos descriptivos de proyecto, como el número de unidades, estacionamientos, bodegas, tipologías, entre otros datos."""
"""Temblor compra""","""Inmobiliaria""","""Análisis financiero del proyecto al momento de la compra del terreno."""
"""Temblor piso tipo""","""Inmobiliaria""","""Análisis financiero del proyecto al momento de firmar el piso tipo, una vez que está definido por los arquitectos."""
"""Temblor lanzamiento""","""Inmobiliaria""","""Análisis financiero del proyecto al momento de empezar la venta de los proyectos."""
"""Categoría de proyecto""","""Inmobiliaria""","""Indica en qué etapa se encuentra el proyecto. Para el sistema PSP existen 3 categorías en las cuales se clasifican los proyectos: en obra, en desarrollo y cerrado."""
"""Plancheta""","""Inmobiliaria""","""Instrumento de topografía para levantar planos sobre el terreno que se va a utilizar para construir el proyecto inmobiliario."""
"""CIP""","""Inmobiliaria""","""Certificado de informes previos. En este documento se indican los metros cuadrados que puede tener el proyecto, la altura máxima, distanciamientos, rasantes, etc."""
"""CABIDA""","""Inmobiliaria""","""Estudio de cabida arquitectónica que permite saber que se puede construir en el terreno, coeficiente de constructibilidad, distanciamientos, coeficiente de ocupación."""
"""ODI""","""Inmobiliaria""","""Oficina Diseño de Interiores"""
"""EECC""","""Inmobiliaria""","""Espacios Comunes"""
"""Datos Financieros del Proyecto""","""Inmobiliaria""","""El resumen financiero del proyecto es presentado a directorio a través de los ""temblores"" del proyecto. Existen distintas versiones de estos, pero los más relevantes corresponden al temblor compra, temblor piso tipo y temblor lanzamiento."""
"""Temblor""","""Inmobiliaria""","""Resumen financiero proyecto"""
"""Tipología Departamento""","""Inmobiliaria""","""Indica el tipo de departamento dentro del proyecto inmobiliario. En la sigla de la tipología generalmente se encuentra estipulado el número de dormitorios y baños. Por ejemplo, 1D1B y 2D2B, para indicar 1 dormitorio y 1 baño; y 2 dormitorios y 2 baños, respectivamente."""
"""Metraje departamento""","""Inmobiliaria""","""Indica el número de metros cuadrados que tiene determinado tipo de departamento dentro de un proyecto inmobiliario. Por ejemplo, el departamento Tipo 1D1B tiene un metraje de 36,9 m2."""
"""Unidades departamento""","""Inmobiliaria""","""Indica el número de unidades que tiene un proyecto inmobiliario. Generalmente, se considera un número de unidades asociado a una tipología de departamentos. Por ejemplo, existen 40 unidades del tipo 2D2B."""
"""Mix departamento""","""Inmobiliaria""","""Indica cuantas unidades hay por tipología de departamento, y su respectivo metraje. Por ejemplo, existen 35 unidades del tipo 2D1B, y cada uno de esos departamentos tiene un metraje de 50 m2."""
"""Estado proyecto""","""Inmobiliaria""","""Se reconocen 6 estados en el desarrollo de un proyecto inmobiliario: Estado iniciado, obra en construcción, inicio de ventas, permiso edificación, planera versión 0, desarrollo arquitectura e inicio de obra."""
"""Arquitecto CABIDA proyecto""","""Inmobiliaria""","""Corresponde al arquitecto asignado para realizar la CABIDA arquitectónica de un proyecto inmobiliario."""
"""Carta gantt proyecto""","""Inmobiliaria""","""Indica las fechas relevantes en el desarrollo de un proyecto inmobiliario. Comienza con la compra de terrenos y finaliza con la entrega de los departamentos. Los hitos reflejados en la carta gantt son los siguientes: Compra terrenos, anteproyecto, propuesta de valor, desarrollo arquitectura preliminar, permisos y aprobaciones, desarrollo arquitectura, diseño de interiores, especialistas, presupuesto y aprobación directorio, inicio obras, inicio ventas, proyectos y permisos, escrituración y entrega. """
"""Necesidades de capacitación (Resultado evaluación de desempeño)""","""RRHH""","""Corresponden a las necesidades de capacitación obtenidas desde los resultados de la evaluación de desempeño e incluyen las habilidades técnicas y las habilidades conductuales o relacionales a capacitar descritas por el jefe evaluador."""
"""Solicitudes de formación""","""RRHH""","""Corresponden a las solicitudes de jefatura o del propio trabajador para la realización de cursos, diplomados o estudios superiores."""
"""Indicadores económicos capacitación mensual/anual""","""RRHH""","""Corresponden a la inversión mensual o anual reportada en el informe de capacitación, que incluye la inversión en franquicia tributaria, inversión costo empresa y la inversión total en cursos de capacitación."""
"""Indicadores de eficacia capacitación mensual/anual""","""RRHH""","""Corresponde al detalle de la participación en capacitación respecto al número de trabajadores, las horas de capacitación, asistencia y la aprobación de los cursos. Algunos de los indicadores son las participaciones aprobadas, participaciones reprobadas, número de frecuencia capacitación, número de inscripciones, entre otros."""
"""Información proveedores de capacitación (OTEC)""","""RRHH""","""Corresponde a información de los organismos técnicos de capacitación (OTEC) que han prestado servicios a Socovesa. Los indicadores incluyen: Ranking OTEC, participaciones por OTEC, participaciones acumuladas y cantidad de horas por curso."""
